crop,climate_zone,soil_type,last_crop_category,last_crop,season,recommendation_type,recommendation_text
соя,умеренная,чернозем,зерновые,ячмень,лето,севооборот,"После ячмень, лучше всего сажать соя, так как сохраняется плодородие почвы."
гречиха,умеренная,глинистая,бобовые,горох,лето,удобрение,Для гречиха рекомендуется внести азотные и фосфорные удобрения после горох.
пшеница,субтропическая,глинистая,технические,кукуруза,лето,севооборот,"После кукуруза, лучше всего сажать пшеница, так как сохраняется плодородие почвы."
рапс,континентальная,чернозем,кормовые,люцерна,осень,защита растений,Проверить посевы рапс после люцерна на болезни и провести профилактическую обработку.
рапс,засушливая,супесчаная,зерновые,гречиха,весна,удобрение,Для рапс рекомендуется внести азотные и фосфорные удобрения после гречиха.
рапс,субтропическая,глинистая,зерновые,пар,лето,севооборот,"После пар, лучше всего сажать рапс, так как сохраняется плодородие почвы."
картофель,субтропическая,песчаная,овощи,озимая пшеница,лето,удобрение,Для картофель рекомендуется внести азотные и фосфорные удобрения после озимая пшеница.
картофель,континентальная,песчаная,зерновые,овес,осень,обработка почвы,После овес провести глубокую вспашку и выравнивание почвы под картофель.
кукуруза,континентальная,чернозем,овощи,горох,весна,севооборот,"После горох, лучше всего сажать кукуруза, так как сохраняется плодородие почвы."
рапс,умеренная,супесчаная,сидераты,картофель,осень,удобрение,Для рапс рекомендуется внести азотные и фосфорные удобрения после картофель.
гречиха,субтропическая,суглинок,бобовые,озимая пшеница,весна,удобрение,Для гречиха рекомендуется внести азотные и фосфорные удобрения после озимая пшеница.
рожь,южная,глинистая,овощи,ячмень,лето,севооборот,"После ячмень, лучше всего сажать рожь, так как сохраняется плодородие почвы."
гречиха,континентальная,глинистая,зерновые,озимая пшеница,осень,удобрение,Для гречиха рекомендуется внести азотные и фосфорные удобрения после озимая пшеница.
картофель,субтропическая,чернозем,овощи,ячмень,весна,защита растений,Проверить посевы картофель после ячмень на болезни и провести профилактическую обработку.
овес,южная,супесчаная,кормовые,подсолнечник,весна,удобрение,Для овес рекомендуется внести азотные и фосфорные удобрения после подсолнечник.
кукуруза,засушливая,супесчаная,зерновые,овес,лето,удобрение,Для кукуруза рекомендуется внести азотные и фосфорные удобрения после овес.
подсолнечник,субтропическая,супесчаная,бобовые,озимая пшеница,весна,удобрение,Для подсолнечник рекомендуется внести азотные и фосфорные удобрения после озимая пшеница.
соя,умеренная,глинистая,кормовые,кукуруза,лето,удобрение,Для соя рекомендуется внести азотные и фосфорные удобрения после кукуруза.
ячмень,умеренная,глинистая,кормовые,пар,весна,удобрение,Для ячмень рекомендуется внести азотные и фосфорные удобрения после пар.
подсолнечник,засушливая,песчаная,сидераты,горох,осень,севооборот,"После горох, лучше всего сажать подсолнечник, так как сохраняется плодородие почвы."
ячмень,субтропическая,торфяная,кормовые,кукуруза,осень,обработка почвы,После кукуруза провести глубокую вспашку и выравнивание почвы под ячмень.
пшеница,континентальная,суглинок,технические,ячмень,весна,севооборот,"После ячмень, лучше всего сажать пшеница, так как сохраняется плодородие почвы."
кукуруза,засушливая,суглинок,сидераты,картофель,лето,обработка почвы,После картофель провести глубокую вспашку и выравнивание почвы под кукуруза.
гречиха,южная,торфяная,зерновые,кукуруза,весна,защита растений,Проверить посевы гречиха после кукуруза на болезни и провести профилактическую обработку.
кукуруза,умеренная,глинистая,зерновые,озимая пшеница,весна,обработка почвы,После озимая пшеница провести глубокую вспашку и выравнивание почвы под кукуруза.
ячмень,субтропическая,супесчаная,кормовые,соя,осень,защита растений,Проверить посевы ячмень после соя на болезни и провести профилактическую обработку.
кукуруза,южная,суглинок,сидераты,соя,лето,защита растений,Проверить посевы кукуруза после соя на болезни и провести профилактическую обработку.
рапс,южная,суглинок,кормовые,люцерна,весна,обработка почвы,После люцерна провести глубокую вспашку и выравнивание почвы под рапс.
гречиха,континентальная,чернозем,сидераты,соя,осень,защита растений,Проверить посевы гречиха после соя на болезни и провести профилактическую обработку.
пшеница,континентальная,суглинок,бобовые,ячмень,лето,удобрение,Для пшеница рекомендуется внести азотные и фосфорные удобрения после ячмень.
рожь,северная,торфяная,кормовые,подсолнечник,осень,обработка почвы,После подсолнечник провести глубокую вспашку и выравнивание почвы под рожь.
соя,умеренная,суглинок,зерновые,кукуруза,лето,защита растений,Проверить посевы соя после кукуруза на болезни и провести профилактическую обработку.
гречиха,южная,суглинок,сидераты,озимая пшеница,весна,севооборот,"После озимая пшеница, лучше всего сажать гречиха, так как сохраняется плодородие почвы."
соя,южная,глинистая,технические,картофель,лето,защита растений,Проверить посевы соя после картофель на болезни и провести профилактическую обработку.
пшеница,умеренная,супесчаная,зерновые,гречиха,весна,обработка почвы,После гречиха провести глубокую вспашку и выравнивание почвы под пшеница.
пшеница,засушливая,торфяная,зерновые,ячмень,весна,защита растений,Проверить посевы пшеница после ячмень на болезни и провести профилактическую обработку.
рожь,континентальная,песчаная,овощи,подсолнечник,лето,севооборот,"После подсолнечник, лучше всего сажать рожь, так как сохраняется плодородие почвы."
подсолнечник,умеренная,песчаная,бобовые,ячмень,весна,защита растений,Проверить посевы подсолнечник после ячмень на болезни и провести профилактическую обработку.
подсолнечник,засушливая,суглинок,зерновые,овес,лето,защита растений,Проверить посевы подсолнечник после овес на болезни и провести профилактическую обработку.
пшеница,засушливая,суглинок,бобовые,пар,осень,обработка почвы,После пар провести глубокую вспашку и выравнивание почвы под пшеница.
рапс,северная,суглинок,овощи,люцерна,весна,севооборот,"После люцерна, лучше всего сажать рапс, так как сохраняется плодородие почвы."
соя,южная,песчаная,бобовые,озимая пшеница,лето,удобрение,Для соя рекомендуется внести азотные и фосфорные удобрения после озимая пшеница.
соя,южная,чернозем,овощи,овес,осень,обработка почвы,После овес провести глубокую вспашку и выравнивание почвы под соя.
картофель,южная,песчаная,кормовые,кукуруза,лето,обработка почвы,После кукуруза провести глубокую вспашку и выравнивание почвы под картофель.
рожь,континентальная,суглинок,зерновые,многолетние травы,лето,защита растений,Проверить посевы рожь после многолетние травы на болезни и провести профилактическую обработку.
подсолнечник,континентальная,глинистая,овощи,соя,весна,защита растений,Проверить посевы подсолнечник после соя на болезни и провести профилактическую обработку.
подсолнечник,южная,песчаная,овощи,пар,весна,обработка почвы,После пар провести глубокую вспашку и выравнивание почвы под подсолнечник.
рожь,умеренная,глинистая,зерновые,озимая пшеница,осень,удобрение,Для рожь рекомендуется внести азотные и фосфорные удобрения после озимая пшеница.
рапс,континентальная,глинистая,овощи,люцерна,весна,защита растений,Проверить посевы рапс после люцерна на болезни и провести профилактическую обработку.
гречиха,южная,чернозем,кормовые,озимая пшеница,лето,защита растений,Проверить посевы гречиха после озимая пшеница на болезни и провести профилактическую обработку.
подсолнечник,южная,песчаная,технические,подсолнечник,лето,удобрение,Для подсолнечник рекомендуется внести азотные и фосфорные удобрения после подсолнечник.
пшеница,засушливая,супесчаная,технические,кукуруза,лето,защита растений,Проверить посевы пшеница после кукуруза на болезни и провести профилактическую обработку.
рожь,субтропическая,торфяная,зерновые,овес,осень,обработка почвы,После овес провести глубокую вспашку и выравнивание почвы под рожь.
рапс,южная,песчаная,сидераты,овес,лето,удобрение,Для рапс рекомендуется внести азотные и фосфорные удобрения после овес.
ячмень,засушливая,супесчаная,технические,гречиха,весна,севооборот,"После гречиха, лучше всего сажать ячмень, так как сохраняется плодородие почвы."
рапс,северная,супесчаная,кормовые,гречиха,лето,обработка почвы,После гречиха провести глубокую вспашку и выравнивание почвы под рапс.
ячмень,континентальная,песчаная,сидераты,озимая пшеница,лето,севооборот,"После озимая пшеница, лучше всего сажать ячмень, так как сохраняется плодородие почвы."
пшеница,умеренная,глинистая,технические,овес,лето,удобрение,Для пшеница рекомендуется внести азотные и фосфорные удобрения после овес.
картофель,северная,суглинок,сидераты,гречиха,лето,удобрение,Для картофель рекомендуется внести азотные и фосфорные удобрения после гречиха.
овес,субтропическая,суглинок,бобовые,картофель,весна,удобрение,Для овес рекомендуется внести азотные и фосфорные удобрения после картофель.
гречиха,субтропическая,торфяная,сидераты,подсолнечник,лето,обработка почвы,После подсолнечник провести глубокую вспашку и выравнивание почвы под гречиха.
картофель,северная,песчаная,кормовые,горох,осень,севооборот,"После горох, лучше всего сажать картофель, так как сохраняется плодородие почвы."
пшеница,умеренная,песчаная,технические,овес,осень,удобрение,Для пшеница рекомендуется внести азотные и фосфорные удобрения после овес.
гречиха,субтропическая,торфяная,сидераты,гречиха,осень,защита растений,Проверить посевы гречиха после гречиха на болезни и провести профилактическую обработку.
рожь,северная,супесчаная,сидераты,ячмень,весна,защита растений,Проверить посевы рожь после ячмень на болезни и провести профилактическую обработку.
ячмень,умеренная,глинистая,бобовые,соя,весна,удобрение,Для ячмень рекомендуется внести азотные и фосфорные удобрения после соя.
кукуруза,северная,чернозем,сидераты,кукуруза,осень,обработка почвы,После кукуруза провести глубокую вспашку и выравнивание почвы под кукуруза.
подсолнечник,континентальная,супесчаная,зерновые,соя,осень,обработка почвы,После соя провести глубокую вспашку и выравнивание почвы под подсолнечник.
гречиха,северная,глинистая,овощи,люцерна,лето,удобрение,Для гречиха рекомендуется внести азотные и фосфорные удобрения после люцерна.
соя,южная,чернозем,зерновые,подсолнечник,лето,севооборот,"После подсолнечник, лучше всего сажать соя, так как сохраняется плодородие почвы."
рапс,континентальная,песчаная,сидераты,горох,осень,защита растений,Проверить посевы рапс после горох на болезни и провести профилактическую обработку.
рожь,субтропическая,супесчаная,кормовые,гречиха,осень,защита растений,Проверить посевы рожь после гречиха на болезни и провести профилактическую обработку.
соя,континентальная,суглинок,технические,кукуруза,осень,обработка почвы,После кукуруза провести глубокую вспашку и выравнивание почвы под соя.
гречиха,северная,песчаная,зерновые,кукуруза,осень,севооборот,"После кукуруза, лучше всего сажать гречиха, так как сохраняется плодородие почвы."
гречиха,южная,торфяная,бобовые,люцерна,лето,севооборот,"После люцерна, лучше всего сажать гречиха, так как сохраняется плодородие почвы."
кукуруза,южная,супесчаная,сидераты,горох,весна,обработка почвы,После горох провести глубокую вспашку и выравнивание почвы под кукуруза.
подсолнечник,умеренная,чернозем,технические,пар,весна,защита растений,Проверить посевы подсолнечник после пар на болезни и провести профилактическую обработку.
соя,северная,суглинок,бобовые,гречиха,лето,удобрение,Для соя рекомендуется внести азотные и фосфорные удобрения после гречиха.
картофель,северная,суглинок,технические,овес,лето,обработка почвы,После овес провести глубокую вспашку и выравнивание почвы под картофель.
овес,северная,чернозем,зерновые,многолетние травы,осень,обработка почвы,После многолетние травы провести глубокую вспашку и выравнивание почвы под овес.
гречиха,северная,суглинок,зерновые,люцерна,лето,севооборот,"После люцерна, лучше всего сажать гречиха, так как сохраняется плодородие почвы."
соя,засушливая,песчаная,кормовые,горох,весна,защита растений,Проверить посевы соя после горох на болезни и провести профилактическую обработку.
картофель,субтропическая,чернозем,сидераты,овес,весна,обработка почвы,После овес провести глубокую вспашку и выравнивание почвы под картофель.
овес,умеренная,песчаная,зерновые,многолетние травы,лето,обработка почвы,После многолетние травы провести глубокую вспашку и выравнивание почвы под овес.
гречиха,северная,чернозем,технические,озимая пшеница,лето,обработка почвы,После озимая пшеница провести глубокую вспашку и выравнивание почвы под гречиха.
рожь,континентальная,суглинок,технические,подсолнечник,весна,удобрение,Для рожь рекомендуется внести азотные и фосфорные удобрения после подсолнечник.
овес,засушливая,супесчаная,сидераты,ячмень,лето,защита растений,Проверить посевы овес после ячмень на болезни и провести профилактическую обработку.
подсолнечник,засушливая,песчаная,кормовые,пар,лето,удобрение,Для подсолнечник рекомендуется внести азотные и фосфорные удобрения после пар.
картофель,засушливая,суглинок,сидераты,многолетние травы,осень,защита растений,Проверить посевы картофель после многолетние травы на болезни и провести профилактическую обработку.
картофель,умеренная,песчаная,технические,картофель,осень,защита растений,Проверить посевы картофель после картофель на болезни и провести профилактическую обработку.
овес,умеренная,суглинок,сидераты,овес,лето,защита растений,Проверить посевы овес после овес на болезни и провести профилактическую обработку.
гречиха,северная,суглинок,сидераты,многолетние травы,лето,защита растений,Проверить посевы гречиха после многолетние травы на болезни и провести профилактическую обработку.
кукуруза,континентальная,торфяная,зерновые,кукуруза,весна,севооборот,"После кукуруза, лучше всего сажать кукуруза, так как сохраняется плодородие почвы."
гречиха,континентальная,песчаная,зерновые,пар,осень,удобрение,Для гречиха рекомендуется внести азотные и фосфорные удобрения после пар.
пшеница,засушливая,супесчаная,технические,многолетние травы,весна,защита растений,Проверить посевы пшеница после многолетние травы на болезни и провести профилактическую обработку.
рожь,южная,суглинок,бобовые,многолетние травы,осень,защита растений,Проверить посевы рожь после многолетние травы на болезни и провести профилактическую обработку.
пшеница,северная,торфяная,технические,овес,лето,защита растений,Проверить посевы пшеница после овес на болезни и провести профилактическую обработку.
подсолнечник,умеренная,чернозем,бобовые,соя,осень,защита растений,Проверить посевы подсолнечник после соя на болезни и провести профилактическую обработку.
ячмень,субтропическая,супесчаная,технические,многолетние травы,весна,защита растений,Проверить посевы ячмень после многолетние травы на болезни и провести профилактическую обработку.
подсолнечник,умеренная,чернозем,технические,овес,весна,севооборот,"После овес, лучше всего сажать подсолнечник, так как сохраняется плодородие почвы."
рожь,засушливая,торфяная,овощи,соя,лето,защита растений,Проверить посевы рожь после соя на болезни и провести профилактическую обработку.
ячмень,северная,торфяная,сидераты,пар,весна,севооборот,"После пар, лучше всего сажать ячмень, так как сохраняется плодородие почвы."
кукуруза,континентальная,чернозем,бобовые,картофель,осень,обработка почвы,После картофель провести глубокую вспашку и выравнивание почвы под кукуруза.
